Train No.,99208,99018,99418,99210,99020,99420,99022,99422,99212,99424,99214,99426,99024,99216,99428,99218,99430,99220,99026
PNVL,,07:43,,,08:04,,08:15,,,,,,09:01,,,,,,09:48
KNDS,,07:48,,,08:09,,08:20,,,,,,09:06,,,,,,09:53
MANR,,07:51,,,08:12,,08:23,,,,,,09:09,,,,,,09:56
KHAG,,07:54,,,08:15,,08:26,,,,,,09:12,,,,,,09:59
BEPR,,07:58,,,08:19,,08:30,,,,,,09:16,,,,,,10:03
SWDV,,08:02,,,08:23,,08:34,,,,,,09:20,,,,,,10:07
NEU,08:01,08:06,,08:21,08:27,,08:38,,08:52,,09:09,,09:24,09:29,,09:42,,09:59,10:11
JNJ,08:06,08:11,,08:26,08:31,,08:42,,08:57,,09:14,,09:28,09:34,,09:47,,10:04,10:15
VSH,,,08:12,,,08:32,,08:45,,09:00,,09:18,,,09:34,,09:50,,
SNPD,,,08:16,,,08:36,,08:49,,09:04,,09:22,,,09:38,,09:54,,
TUH,08:10,08:15,08:20,08:30,08:35,08:40,08:47,08:53,09:01,09:08,09:18,09:26,09:32,09:38,09:43,09:51,09:58,10:08,10:19
KPHN,08:14,08:19,08:24,08:34,08:39,08:44,08:51,08:57,09:05,09:12,09:22,09:30,09:36,09:42,09:47,09:55,10:02,10:12,10:23
GNSL,08:17,08:22,08:27,08:37,08:42,08:47,08:54,09:00,09:08,09:15,09:25,09:33,09:39,09:45,09:50,09:58,10:05,10:15,10:26
RABE,08:20,08:25,08:30,08:40,08:45,08:50,08:57,09:03,09:11,09:18,09:28,09:36,09:42,09:48,09:53,10:01,10:08,10:18,10:29
AIRL,08:23,08:28,08:33,08:43,08:48,08:53,09:00,09:06,09:14,09:21,09:31,09:39,09:45,09:51,09:56,10:04,10:11,10:21,10:32
DIGH,08:26,08:31,08:36,08:46,08:51,08:56,09:03,09:09,09:17,09:24,09:34,09:42,09:48,09:54,09:59,10:07,10:14,10:24,10:35
TNA,08:31,08:36,08:41,08:51,08:56,09:01,09:08,09:15,09:22,09:29,09:39,09:47,09:53,09:59,10:04,10:12,10:19,10:31,10:40
