Train No.,99044,99470,99244,99046,99472,99474,99048,99476,99050,99478,99246,99480,99482,99052,99248,99484,99250,99054,99486
PNVL,15:36,,,15:53,,,16:14,,16:26,,,,,17:12,,,,17:37,
KNDS,15:41,,,15:58,,,16:19,,16:31,,,,,17:17,,,,17:42,
MANR,15:44,,,16:01,,,16:22,,16:34,,,,,17:20,,,,17:45,
KHAG,15:47,,,16:04,,,16:25,,16:37,,,,,17:23,,,,17:48,
BEPR,15:51,,,16:08,,,16:29,,16:41,,,,,17:27,,,,17:52,
SWDV,15:55,,,16:12,,,16:33,,16:45,,,,,17:31,,,,17:56,
NEU,15:59,,16:09,16:16,,,16:37,,16:49,,17:11,,,17:35,17:41,,17:54,18:00,
JNJ,16:03,,16:14,16:20,,,16:41,,16:53,,17:16,,,17:39,17:46,,17:59,18:04,
VSH,,16:04,,,16:19,16:31,,16:44,,16:57,,17:19,17:32,,,17:48,,,18:05
SNPD,,16:08,,,16:24,16:35,,16:49,,17:02,,17:23,17:36,,,17:52,,,18:09
TUH,16:07,16:12,16:18,16:24,16:28,16:39,16:47,16:53,16:59,17:07,17:20,17:27,17:40,17:45,17:50,17:56,18:03,18:08,18:13
KPHN,16:11,16:16,16:22,16:28,16:32,16:43,16:51,16:57,17:03,17:11,17:24,17:31,17:44,17:49,17:54,18:00,18:07,18:12,18:17
GNSL,16:14,16:19,16:25,16:31,16:35,16:46,16:54,17:00,17:06,17:14,17:27,17:34,17:47,17:52,17:57,18:03,18:10,18:15,18:20
RABE,16:17,16:22,16:28,16:34,16:38,16:49,16:57,17:03,17:09,17:17,17:30,17:37,17:50,17:55,18:00,18:06,18:13,18:18,18:23
AIRL,16:20,16:25,16:31,16:37,16:41,16:52,17:00,17:06,17:12,17:20,17:33,17:40,17:53,17:58,18:03,18:09,18:16,18:21,18:26
DIGH,16:23,16:28,16:34,16:40,16:44,16:55,17:03,17:09,17:15,17:23,17:36,17:43,17:56,18:01,18:06,18:12,18:19,18:24,18:29
TNA,16:28,16:33,16:39,16:45,16:49,17:00,17:09,17:14,17:20,17:28,17:41,17:48,18:01,18:06,18:11,18:17,18:25,18:29,18:34
