Train No.,91039,91041,91043,91045,91047,91049,91051,91053,91055,90551,90553,90555,90557,90559,90561,94043,90565,90567,94057,90569,90571,90573,94047,90575,94005,94081,94011,94001,94013,94015,94017,94023,94007,94019,94063,94029,90709,90711,90713,94057,90715,90717,90719,90721,92153,90723,90725,92155,90727,90727A,90729,90731,94059,90735,92157,90737,90739,92159,90741,90743,90745,90747,90749,90751
ADH,00:57,01:00,01:04,01:11,,01:22,01:27,01:34,01:44,15:24,15:27,15:29,15:34,15:22,15:37,15:24,15:42,15:28,,,15:43,15:48,15:51,15:39,06:28,07:20,08:01,,08:07,08:24,09:22,09:54,,09:15,19:31,11:09,18:28,18:30,18:32,18:23,,18:27,18:38,18:30,,18:41,18:35,18:27,18:42,18:42,18:45,18:48,18:42,18:45,18:50,18:56,18:48,18:52,18:51,18:59,19:03,19:06,18:54,
JOS,,01:03,01:07,01:14,,01:25,01:30,01:37,01:47,15:27,15:31,15:33,15:37,,15:40,,15:46,,,,15:48,15:52,15:55,,06:31,07:23,08:04,,,,,,,,,11:12,18:32,,18:36,,,18:32,18:42,,,18:45,18:40,,18:46,18:46,18:49,18:52,,,18:55,18:59,,,,19:02,19:06,19:10,,
RMAR,,01:06,01:10,01:17,,01:28,01:33,01:40,01:50,15:30,15:34,15:36,15:40,,15:43,,15:49,,,,15:51,15:55,15:58,,06:34,07:26,08:07,,,,,,,,,11:15,18:35,,18:39,,,--,18:45,,,18:48,--,,18:49,18:49,18:52,18:55,,,18:58,19:02,,,,19:05,19:09,19:13,,
GMN,,01:08,01:12,01:19,,01:30,01:35,01:42,01:52,15:32,15:36,15:40,15:42,,15:45,,15:53,,,,15:53,15:57,16:00,,06:36,07:28,08:09,,,,,,,,,11:17,18:39,,18:41,,,18:37,18:48,,,18:51,18:45,,18:52,18:52,18:55,18:58,,,19:01,19:04,,,,19:07,19:11,19:16,,
MDD,,01:12,01:16,01:23,,01:34,01:39,01:46,01:56,15:36,15:40,,15:46,,15:49,,,,,,15:57,16:01,16:04,,06:40,07:32,08:13,,,,,,,,,11:21,,,18:45,,,18:41,18:52,,,,18:49,,18:56,18:56,18:59,19:02,,,19:05,19:08,,,,19:11,19:15,,,
KILE,,01:15,01:19,01:26,,01:37,01:42,01:49,01:59,15:39,15:43,,15:49,,15:52,,,,,,16:00,16:04,16:07,,06:43,07:35,08:16,,,,,,,,,11:24,,,18:48,,,18:45,18:55,,,,18:52,,18:59,18:59,19:02,19:05,,,19:08,19:11,,,,19:14,19:18,,,
BVI,,01:22,01:24,01:32,,01:43,01:48,01:54,02:05,15:47,15:49,,15:55,15:35,15:58,15:38,,15:41,15:44,16:00,16:06,16:09,16:13,15:53,06:50,07:41,08:22,04:56,08:21,08:40,09:36,10:07,,09:30,19:43,11:31,,,18:55,18:38,,18:52,19:01,18:41,18:50,,18:59,18:44,19:06,19:06,19:08,19:11,18:56,19:00,19:13,19:17,19:02,19:11,19:06,19:20,19:25,,19:08,
DIC,,,01:27,01:36,,,01:52,01:58,,,15:54,,,,,15:42,,15:46,15:50,16:04,,16:13,,15:57,,,,05:00,08:25,08:44,09:40,10:11,,,19:48,,,,,,,,19:05,18:45,18:55,NOT ON,NOT ON,,,ON SUN,19:12,,19:01,,19:17,19:22,19:06,19:16,,,,,19:12,
MIRA,,,01:32,01:41,,,01:57,02:03,,,15:58,,,,,15:46,,15:51,15:55,16:09,,16:18,,16:02,,,,05:05,08:30,08:49,09:45,10:16,,,19:53,,,,,,,,19:09,18:49,19:00,SUN,SUN,,,ONLY,19:17,,19:06,,19:22,19:27,19:11,19:21,,,,,19:17,
BYR,,,01:37,01:48,,,02:03,02:08,,,16:04,,,,,15:51,,15:56,16:00,16:14,,16:23,,16:07,,,,05:10,08:35,08:53,09:50,10:21,07:27,,19:58,,,,,,,,19:14,18:53,19:06,ONLY,ONLY,18:57,,,19:22,,19:13,,19:27,19:32,19:16,19:26,,,,,19:22,
NIG,,,01:43,,,,,02:14,,,,,,,,15:57,,16:02,16:06,16:20,,16:29,,16:13,,,,05:16,08:41,08:59,09:56,10:26,,,20:04,,,,,,,,19:20,18:58,19:12,,,,,,19:28,,,,19:33,19:38,19:22,19:32,,,,,19:28,
BSR,,,01:48,,,,,02:19,,,,,,,,16:01,,16:07,16:11,16:26,,16:34,,16:18,,,,05:21,08:46,09:04,10:01,10:31,,,20:09,,,,,,,,19:25,19:03,19:18,,,19:06,,,19:33,,,,19:37,19:44,19:26,19:37,,,,,19:33,
NSP,,,01:53,,,,,02:24,,,,,,,,16:06,,16:12,16:16,,,16:39,,16:23,,,,05:26,08:52,09:09,10:06,10:36,,,20:14,,,,,,,,19:30,19:08,,,,,,,19:38,,,,19:42,19:51,19:31,19:42,,,,,19:39,
VR,,,02:00,,,,,02:30,,,,,,,,16:14,,16:19,16:25,,,16:48,,16:30,,,,05:34,09:00,09:15,10:13,10:43,07:52,,20:22,,,,,,,,19:36,19:15,,,,19:18,,,19:45,,,,19:49,19:59,19:38,19:49,,,,,19:46,
