Train No.,99066,99504,99264,99506,99266,99068,99508,99510,99070,99512,99268,99514,99072,99516,99518,99520,99074
PNVL,20:19,,,,,20:51,,,21:20,,,,22:15,,,,23:18
KNDS,20:24,,,,,20:56,,,21:25,,,,22:20,,,,23:23
MANR,20:27,,,,,20:59,,,21:28,,,,22:23,,,,23:26
KHAG,20:30,,,,,21:02,,,21:31,,,,22:26,,,,23:29
BEPR,20:34,,,,,21:06,,,21:35,,,,22:30,,,,23:33
SWDV,20:38,,,,,21:10,,,21:39,,,,22:34,,,,23:37
NEU,20:42,,20:58,,21:11,21:15,,,21:43,,22:14,,22:38,,,,23:41
JNJ,20:46,,21:03,,21:16,21:20,,,21:47,,22:19,,22:42,,,,23:45
VSH,,20:50,,21:05,,,21:24,21:37,,22:00,,22:23,,22:45,23:09,23:25,
SNPD,,20:54,,21:09,,,21:28,21:41,,22:04,,22:27,,22:49,23:13,23:29,
TUH,20:50,20:58,21:07,21:13,21:20,21:24,21:32,21:45,21:51,22:08,22:23,22:31,22:46,22:53,23:17,23:33,23:49
KPHN,20:54,21:02,21:11,21:17,21:24,21:28,21:36,21:49,21:55,22:12,22:27,22:35,22:50,22:57,23:21,23:37,23:53
GNSL,20:57,21:05,21:14,21:20,21:27,21:31,21:39,21:52,21:58,22:15,22:30,22:38,22:53,23:00,23:24,23:40,23:56
RABE,21:00,21:08,21:17,21:23,21:30,21:34,21:42,21:55,22:01,22:18,22:33,22:41,22:56,23:03,23:27,23:43,23:59
AIRL,21:03,21:11,21:20,21:26,21:33,21:37,21:45,21:58,22:04,22:21,22:36,22:44,22:59,23:06,23:30,23:46,00:02
DIGH,21:06,21:14,21:23,21:29,21:36,21:40,21:48,22:01,22:07,22:24,22:39,22:47,23:02,23:09,23:33,23:49,00:05
TNA,21:11,21:19,21:28,21:34,21:41,21:46,21:53,22:06,22:12,22:29,22:44,22:52,23:07,23:14,23:38,23:54,00:10
