Train No.,99452,99232,99234,99454,99036,99456,99236,99458,99238,99038,99460,99040,99462,99240,99464,99466,99042,99468,99242
PNVL,,,,,13:04,,,,,14:01,,14:24,,,,,15:04,,
KNDS,,,,,13:09,,,,,14:06,,14:29,,,,,15:09,,
MANR,,,,,13:12,,,,,14:09,,14:32,,,,,15:12,,
KHAG,,,,,13:15,,,,,14:12,,14:35,,,,,15:15,,
BEPR,,,,,13:19,,,,,14:16,,14:39,,,,,15:19,,
SWDV,,,,,13:23,,,,,14:20,,14:43,,,,,15:23,,
NEU,,12:59,13:14,,13:27,,13:48,,14:15,14:24,,14:47,,15:00,,,15:27,,15:45
JNJ,,13:04,13:19,,13:31,,13:53,,14:20,14:28,,14:51,,15:05,,,15:31,,15:50
VSH,12:55,,,13:21,,13:40,,14:07,,,14:35,,14:56,,15:11,15:23,,15:38,
SNPD,12:59,,,13:25,,13:44,,14:11,,,14:39,,15:00,,15:15,15:27,,15:42,
TUH,13:03,13:08,13:23,13:29,13:35,13:48,13:57,14:15,14:24,14:32,14:43,14:55,15:04,15:09,15:19,15:31,15:35,15:46,15:54
KPHN,13:07,13:12,13:27,13:33,13:39,13:52,14:01,14:19,14:28,14:37,14:47,14:59,15:08,15:13,15:23,15:35,15:39,15:50,15:58
GNSL,13:10,13:15,13:30,13:36,13:42,13:55,14:04,14:22,14:31,14:40,14:50,15:02,15:11,15:16,15:26,15:38,15:42,15:53,16:01
RABE,13:13,13:18,13:33,13:39,13:45,13:58,14:07,14:25,14:34,14:43,14:53,15:05,15:14,15:19,15:29,15:41,15:45,15:56,16:04
AIRL,13:16,13:21,13:36,13:42,13:48,14:01,14:10,14:28,14:37,14:46,14:56,15:08,15:17,15:22,15:32,15:44,15:48,15:59,16:07
DIGH,13:19,13:24,13:39,13:45,13:51,14:04,14:13,14:31,14:40,14:49,14:59,15:11,15:20,15:25,15:35,15:47,15:51,16:02,16:10
TNA,13:24,13:29,13:44,13:50,13:56,14:09,14:18,14:36,14:45,14:54,15:04,15:16,15:25,15:30,15:40,15:52,15:56,16:07,16:15
