Train No. Train Code,99252,99056,99488,99058,99490,99254,99492,99256,99494,99060,99258,99062,99496,99064,99498,99260,99500,99262,99502
PNVL,,17:57,,18:22,,,,,,19:01,,19:13,,19:31,,,,,
KNDS,,18:02,,18:27,,,,,,19:06,,19:18,,19:36,,,,,
MANR,,18:05,,18:30,,,,,,19:09,,19:21,,19:39,,,,,
KHAG,,18:08,,18:33,,,,,,19:12,,19:24,,19:42,,,,,
BEPR,,18:12,,18:37,,,,,,19:16,,19:28,,19:46,,,,,
SWDV,,18:16,,18:41,,,,,,19:20,,19:32,,19:50,,,,,
NEU,18:12,18:20,,18:45,,18:54,,19:08,,19:24,19:29,19:36,,19:54,,20:03,,20:20,
JNJ,18:17,18:24,,18:49,,18:59,,19:13,,19:28,19:34,19:40,,19:58,,20:08,,20:25,
VSH,,,18:25,,18:49,,19:01,,19:19,,,,19:41,,19:57,,20:12,,20:31
SNPD,,,18:29,,18:53,,19:05,,19:23,,,,19:45,,20:02,,20:16,,20:35
TUH,18:21,18:28,18:33,18:53,18:57,19:03,19:09,19:17,19:27,19:32,19:38,19:44,19:49,20:02,20:07,20:12,20:20,20:29,20:39
KPHN,18:25,18:32,18:37,18:57,19:01,19:07,19:13,19:21,19:31,19:36,19:42,19:48,19:53,20:06,20:11,20:16,20:24,20:33,20:43
GNSL,18:28,18:35,18:40,19:00,19:04,19:10,19:16,19:24,19:34,19:39,19:45,19:51,19:56,20:09,20:14,20:19,20:27,20:36,20:46
RABE,18:31,18:38,18:43,19:03,19:07,19:13,19:19,19:27,19:37,19:42,19:48,19:54,19:59,20:12,20:17,20:22,20:30,20:39,20:49
AIRL,18:34,18:41,18:46,19:06,19:10,19:16,19:22,19:30,19:40,19:45,19:51,19:57,20:02,20:15,20:20,20:25,20:33,20:42,20:52
DIGH,18:37,18:44,18:49,19:09,19:13,19:19,19:25,19:33,19:43,19:48,19:54,20:00,20:05,20:18,20:23,20:28,20:36,20:45,20:55
TNA,18:42,18:49,18:54,19:14,19:18,19:24,19:30,19:40,19:48,19:53,19:59,20:05,20:10,20:23,20:28,20:33,20:41,20:50,21:00
